,holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,date_time,traffic_volume,year,month,hour,hour_sin,hour_cos,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Squall,weather_main_Thunderstorm
20344,New Years Day,-7.2099999999999795,0.0,0.0,90,haze,2016-01-01 00:00:00,1513,2016,1,0,0.0,1.0,False,False,False,True,False,False,False,False,False,False
20345,New Years Day,-7.2099999999999795,0.0,0.0,90,light snow,2016-01-01 00:00:00,1513,2016,1,0,0.0,1.0,False,False,False,False,False,False,False,True,False,False
20346,,-7.149999999999977,0.0,0.0,90,light snow,2016-01-01 01:00:00,1550,2016,1,1,0.25881904510252074,0.9659258262890683,False,False,False,False,False,False,False,True,False,False
20347,,-7.139999999999986,0.0,0.0,90,light snow,2016-01-01 03:00:00,719,2016,1,3,0.7071067811865475,0.7071067811865476,False,False,False,False,False,False,False,True,False,False
20348,,-8.349999999999966,0.0,0.0,90,overcast clouds,2016-01-01 04:00:00,533,2016,1,4,0.8660254037844386,0.5000000000000001,True,False,False,False,False,False,False,False,False,False
20349,,-8.769999999999982,0.0,0.0,90,overcast clouds,2016-01-01 05:00:00,586,2016,1,5,0.9659258262890683,0.25881904510252074,True,False,False,False,False,False,False,False,False,False
20350,,-9.159999999999968,0.0,0.0,1,sky is clear,2016-01-01 06:00:00,809,2016,1,6,1.0,6.123233995736766e-17,False,False,False,False,False,False,False,False,False,False
20351,,-8.989999999999952,0.0,0.0,1,sky is clear,2016-01-01 07:00:00,882,2016,1,7,0.9659258262890683,-0.25881904510252063,False,False,False,False,False,False,False,False,False,False
20352,,-8.349999999999966,0.0,0.0,75,broken clouds,2016-01-01 08:00:00,1077,2016,1,8,0.8660254037844387,-0.49999999999999983,True,False,False,False,False,False,False,False,False,False
20353,,-7.389999999999986,0.0,0.0,90,overcast clouds,2016-01-01 09:00:00,1574,2016,1,9,0.7071067811865476,-0.7071067811865475,True,False,False,False,False,False,False,False,False,False
20354,,-5.539999999999964,0.0,0.0,40,scattered clouds,2016-01-01 10:00:00,2059,2016,1,10,0.49999999999999994,-0.8660254037844387,True,False,False,False,False,False,False,False,False,False
20355,,-3.7199999999999704,0.0,0.0,1,sky is clear,2016-01-01 12:00:00,3206,2016,1,12,1.2246467991473532e-16,-1.0,False,False,False,False,False,False,False,False,False,False
20356,,-1.3799999999999955,0.0,0.0,1,sky is clear,2016-01-01 13:00:00,3498,2016,1,13,-0.2588190451025208,-0.9659258262890683,False,False,False,False,False,False,False,False,False,False
20357,,-1.169999999999959,0.0,0.0,1,sky is clear,2016-01-01 14:00:00,3453,2016,1,14,-0.4999999999999998,-0.8660254037844388,False,False,False,False,False,False,False,False,False,False
20358,,-1.2199999999999704,0.0,0.0,1,sky is clear,2016-01-01 16:00:00,3359,2016,1,16,-0.8660254037844384,-0.5000000000000004,False,False,False,False,False,False,False,False,False,False
20359,,-3.75,0.0,0.0,1,sky is clear,2016-01-01 18:00:00,2899,2016,1,18,-1.0,-1.8369701987210297e-16,False,False,False,False,False,False,False,False,False,False
20360,,-5.5,0.0,0.0,1,sky is clear,2016-01-01 20:00:00,2134,2016,1,20,-0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,False,False,False,False
20361,,-6.6299999999999955,0.0,0.0,1,sky is clear,2016-01-01 21:00:00,1845,2016,1,21,-0.7071067811865477,0.7071067811865474,False,False,False,False,False,False,False,False,False,False
20362,,-7.639999999999986,0.0,0.0,1,sky is clear,2016-01-01 23:00:00,1280,2016,1,23,-0.25881904510252157,0.9659258262890681,False,False,False,False,False,False,False,False,False,False
20363,,-8.279999999999973,0.0,0.0,1,sky is clear,2016-01-02 01:00:00,633,2016,1,1,0.25881904510252074,0.9659258262890683,False,False,False,False,False,False,False,False,False,False
20364,,-9.569999999999993,0.0,0.0,1,sky is clear,2016-01-02 02:00:00,655,2016,1,2,0.49999999999999994,0.8660254037844387,False,False,False,False,False,False,False,False,False,False
20365,,-9.389999999999986,0.0,0.0,1,sky is clear,2016-01-02 03:00:00,659,2016,1,3,0.7071067811865475,0.7071067811865476,False,False,False,False,False,False,False,False,False,False
20366,,-9.909999999999968,0.0,0.0,1,sky is clear,2016-01-02 04:00:00,378,2016,1,4,0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,False,False,False,False
20367,,-10.060000000000002,0.0,0.0,1,sky is clear,2016-01-02 05:00:00,610,2016,1,5,0.9659258262890683,0.25881904510252074,False,False,False,False,False,False,False,False,False,False
20368,,-10.009999999999991,0.0,0.0,1,sky is clear,2016-01-02 06:00:00,1043,2016,1,6,1.0,6.123233995736766e-17,False,False,False,False,False,False,False,False,False,False
20369,,-9.759999999999991,0.0,0.0,1,sky is clear,2016-01-02 07:00:00,1440,2016,1,7,0.9659258262890683,-0.25881904510252063,False,False,False,False,False,False,False,False,False,False
20370,,-8.95999999999998,0.0,0.0,1,sky is clear,2016-01-02 08:00:00,1880,2016,1,8,0.8660254037844387,-0.49999999999999983,False,False,False,False,False,False,False,False,False,False
20371,,-8.159999999999968,0.0,0.0,1,sky is clear,2016-01-02 09:00:00,2715,2016,1,9,0.7071067811865476,-0.7071067811865475,False,False,False,False,False,False,False,False,False,False
20372,,-5.4599999999999795,0.0,0.0,1,sky is clear,2016-01-02 10:00:00,3153,2016,1,10,0.49999999999999994,-0.8660254037844387,False,False,False,False,False,False,False,False,False,False
20373,,-3.329999999999984,0.0,0.0,1,sky is clear,2016-01-02 12:00:00,4236,2016,1,12,1.2246467991473532e-16,-1.0,False,False,False,False,False,False,False,False,False,False
20374,,-1.0699999999999932,0.0,0.0,1,sky is clear,2016-01-02 13:00:00,4426,2016,1,13,-0.2588190451025208,-0.9659258262890683,False,False,False,False,False,False,False,False,False,False
20375,,-0.5799999999999841,0.0,0.0,1,sky is clear,2016-01-02 15:00:00,4513,2016,1,15,-0.7071067811865471,-0.7071067811865479,False,False,False,False,False,False,False,False,False,False
20376,,-1.5299999999999727,0.0,0.0,1,sky is clear,2016-01-02 17:00:00,4498,2016,1,17,-0.9659258262890683,-0.25881904510252063,False,False,False,False,False,False,False,False,False,False
20377,,-3.1899999999999977,0.0,0.0,1,sky is clear,2016-01-02 19:00:00,3148,2016,1,19,-0.9659258262890684,0.2588190451025203,False,False,False,False,False,False,False,False,False,False
20378,,-3.7999999999999545,0.0,0.0,5,sky is clear,2016-01-02 21:00:00,2649,2016,1,21,-0.7071067811865477,0.7071067811865474,False,False,False,False,False,False,False,False,False,False
20379,,-4.0,0.0,0.0,75,broken clouds,2016-01-02 22:00:00,2552,2016,1,22,-0.5000000000000004,0.8660254037844384,True,False,False,False,False,False,False,False,False,False
20380,,-3.589999999999975,0.0,0.0,90,overcast clouds,2016-01-02 23:00:00,1830,2016,1,23,-0.25881904510252157,0.9659258262890681,True,False,False,False,False,False,False,False,False,False
20381,,-3.259999999999991,0.0,0.0,90,overcast clouds,2016-01-03 00:00:00,931,2016,1,0,0.0,1.0,True,False,False,False,False,False,False,False,False,False
20382,,-2.8899999999999864,0.0,0.0,90,overcast clouds,2016-01-03 01:00:00,633,2016,1,1,0.25881904510252074,0.9659258262890683,True,False,False,False,False,False,False,False,False,False
20383,,-2.909999999999968,0.0,0.0,90,overcast clouds,2016-01-03 03:00:00,659,2016,1,3,0.7071067811865475,0.7071067811865476,True,False,False,False,False,False,False,False,False,False
20384,,-2.9399999999999977,0.0,0.0,90,overcast clouds,2016-01-03 05:00:00,606,2016,1,5,0.9659258262890683,0.25881904510252074,True,False,False,False,False,False,False,False,False,False
